ID	Drinking Category	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10005	LD	Cyno	M	6.253379604	16.92384615	44																																						
10006	VHD	Cyno	M	5.585330294	16.86	35.21461538																																						
10007	VHD	Cyno	M	5.87281053	11.56461538	56.72916667																																						
10008	VHD	Cyno	M	6.069939834	13.62153846	47.44769231																																						
10010	LD	Cyno	M	6.65037612	16.23615385	47.20166667																																						
10011	HD	Cyno	M	6.499791235	19.96307692	35.98076923																																						
10012	VHD	Cyno	M	6.242427976	12.11538462	53.63230769																																						
10013	BD	Cyno	M	6.121960068	19.49615385	51.50083333																																						
10014	BD	Cyno	M	6.089105184	12.28230769	43.13090909																																						
10015	LD	Cyno	M	5.842693553	15.92230769	51.78333333																																						
10016	LD	Cyno	M	6.261593325							15.13	2.11																																
10018	LD	Cyno	M	6.450508908			11.94	397.5			10.31	1.28																																
10019	LD	Cyno	M	6.554549375			18.17				15.73	1.8																																
10020	VHD	Cyno	M	6.450508908			6.71				20.02	1.4																																
10021	LD	Cyno	M	6.576452631			18.89				30.97	2																																
10022	LD	Cyno	M	6.354682163			11.99				5.58	2.1																																
10023	LD	Cyno	M	6.554549375			13.57				8.32	1.2																																
10024	LD	Cyno	M	6.316351465			6.71				13.99	1.49																																
10025	LD	Cyno	M	6.800961005			7.64				8.76	1.34																																
10026	LD	Cyno	M	6.505267049			12.52	366			10.39	0.999																																
10027	LD	Cyno	M	6.538121933			9.76				19.98	2.08																																
10032	VHD	Cyno	F	6.658589841							14.44	1.43																																
10035	VHD	Cyno	F	6.88857403							8.25	1.36																																
10036	VHD	Cyno	F	6.86119496							11.16	1.54																																
10038	VHD	Cyno	F	6.721561702							12.51	2.74																																
10039	BD	Cyno	F	6.653114027							15.44	0.867																																
10040	VHD	Cyno	F	6.472412165							9.39	0.797																																
10041	VHD	Cyno	F	6.73251333							19.43	2.58																																
10042	LD	Cyno	F	6.664065655							13.48	2.15																																
10044	VHD	Cyno	F	6.833815889							12.15	1.24																																
10045	VHD	Cyno	F	6.811912633							8.81	1.28																																
10048	LD	Rhesus	M	9.856465225	27.09	32.5	3.3	324.5	113.855	0.08	6.05	0.868	1.894553762	6.032550425	0.771102655	1.492063499	1.592344539	124.2422179	588.3591958	115.456308	8.269439971	12.53190869	0.631698829	46.35428439	94.06511752	8.263317532	0.88	0.112137907	25.21364594	0.592001405	7.262822772	262.7374369	33.39300346	57.46139055	1163.329478	3.986648045	73.94978172	2.715307333	37.83263431	2.126399592	1.789101147	73.94978172	0.592001405	
10049	HD	Rhesus	M	9.81539662	30	51.5	6.573333333	481	147.395	0.0645	10.62	0.78	4.557195786	7.052799823	21.54207439	1.955804006	1.838468689	158.5598672	4642.872062	178.7688825	8.871451218	16.64892631	0.70430919	57.15485292	177.5956224	12.11936239	2.437098917	0.241976428	42.74640974	0.512193948	12.80975896	659.7981986	58.11174928	37.75027626	2116.084598	8.929755879	64.06199631	3.668411421	44.71248664	2.762250472	0.898283267	64.06199631	0.512193948	
10051	BD	Rhesus	M	9.224008707	28.245	27	7.48	354.5	115.49	0.0605	9.9	0.606	3.1258413	5.867002525	12.98168712	1.624271098	1.776425399	165.929652	1718.749224	167.1405286	8.267380869	15.09427089	0.68023192	50.99827939	208.6972102	9.226725506	0.88	0.186265549	34.92662651	0.607074788	11.58426239	459.7406265	45.25917319	51.45652923	1571.926821	6.768665858	54.1742109	3.702997208	43.12818022	2.126399592	1.125943613	54.1742109	0.607074788	
10052	LD	Rhesus	M	9.177464287	30.435	14	6.353333333	373.5	140.465	0.114	10.89	1.49	7.311202257	8.642527586	26.16379876	2.153120255	1.65385202	166.5030955	827.3971531	190.3153361	6.616509159	26.3183173	0.915240146	142.3395176	161.0156942	20.459288	11.4643325	0.24204207	53.97513968	0.645486841	18.90287503	289.5443563	33.31053081	52.33175138	1287.302505	15.97072099	388.2311278	2.810592878	40.27719937	2.548683537	3.145878497	388.2311278	0.645486841	
10054	BD	Rhesus	M	8.030281251	36.27	55.5	5.42	396.5	138.735	0.0975	6.85	0.983	5.495277668	11.06166581	20.70427664	2.385418371	2.022517603	200.3743197	3209.194936	222.0652237	7.853354276	17.99898814	0.778256498	58.53458739	184.0569793	15.54211529	4.665281989	0.20477443	38.90863531	0.75851331	15.87660151	602.1208849	45.80042227	73.0338424	2104.55053	10.97929271	141.8230383	3.425196756	43.63172123	2.970967481	2.462087714	141.8230383	0.75851331	
10055	LD	Rhesus	M	8.424539861	28.765	88.5	6.356666667	343.5	273.895	0.107	12.88	2.93	4.852307577	9.560669374	23.86293415	2.020496523	2.022766536	223.6010835	1791.502903	173.3639594	7.244041172	18.50319889	0.68023192	64.91844965	152.8791315	13.44702566	4.177399521	0.16766455	45.22804426	0.658107634	15.25954784	410.3683355	44.04518713	39.95057017	1937.800257	11.38858793	44.2864255	3.291390648	40.29902488	2.759825509	3.485662157	44.2864255	0.658107634	
10056	LD	Rhesus	M	8.008377995	23.665	27.5	5.11	289	305.1	0.0805	13.81	2.03																																
10057	BD	Rhesus	M	7.055586357	23.53	39.5	9.616666667	441	166.53	0.161	30.32	2.38	4.325109676	7.852016787	24.28463758	2.252110423	1.899563125	166.4202857	2296.282818	160.7620517	4.95974312	15.56011492	0.696353314	56.63612558	157.0140932	10.89895792	1.254838269	0.223375429	38.27563906	0.55155449	12.81423829	554.3436969	30.27075029	34.88298721	1772.202985	8.081253135	81.64091686	2.035271256	41.96799486	3.184534416	3.368645876	81.64091686	0.55155449	
10058	LD	Rhesus	M	7.176054265	19.695	49.5	2.72	325.5	84.31	0.0415	26.34	2.05	6.061768032	9.109038286	26.65403582	2.086437176	2.942275554	151.191128	2951.16265	194.250761	6.222760577	17.0648063	3.060335777	109.4945589	187.5376616	18.84920434	2.781839521	0.223375429	46.53737704	1.017203165	17.09782087	450.580111	36.05670697	57.45256099	2103.169146	8.505504507	1265.226092	2.931450182	39.01885525	2.759825509	5.033430668	1265.226092	1.017203165	
10059	BD	Rhesus	M	7.176054265	29.41	48.5	13.16333333	459	393.235	0.2885	17.28	1.56	6.953234283	10.67541739	35.39489192	2.517685813	2.452208729	300.9017935	5203.524534	260.2060761	10.16095812	20.36415331	3.653105528	87.48619473	231.1314372	22.90798679	1.618237705	0.223375429	53.77676998	1.304781607	17.7075656	441.7149481	48.71136966	132.0818665	2491.430912	11.78598773	1378.909581	5.263983852	40.2169801	2.973392444	6.134301249	1378.909581	1.304781607	
10060	BD	Rhesus	M	5.705798203			23				25.03	1.76	6.088537226	6.730156379	24.50993779	2.028578514	1.736791803	512.6340999	2068.683149	226.6835223	6.132034917	14.80654012	0.758985725	55.74924325	233.0915325	8.781771392	3.571983187	0.299239521	37.60128727	0.820872436	11.88656382	332.0112977	41.42380783	124.2865955	2214.32311	19.5720158	118.2392863	2.623918764	65.62105173	3.254169322	0.866200371	118.2392863	0.820872436	
10061	VHD	Rhesus	M	5.850907274			11.78				15.58	1.43	0.18	1.100729295	90.85911972	1.477914445	1.587886041	323.3741412	799.3116947	176.898592	9.248999543	21.71620316	0.788479377	27.24037805	235.5360311	12.7404979	0.29	0.473857318	26.49056417	0.096852068	12.82550921	1620.056911	62.3237987	846.6237421	582.807888	13.62035716	153.9252663	3.59635915	324.2134981	3.277768607	0.29	153.9252663	0.096852068	
10062	VHD	Rhesus	M	5.935782391			6.9				18.05	1																																
10063	VHD	Rhesus	M	5.689370761			9.43				17.86	1.78																																
10064	HD	Rhesus	M	5.651040062			2.98				23.77	1.84																																
