ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Deoxycorticosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10016	LD	Cyno	M	6.261593325	27.86	177.8	0.225	0.01	13.7	1.6																																
10018	LD	Cyno	M	6.450508908	16.81	20.23	0.071	0.01	11.37	0.659																																
10019	LD	Cyno	M	6.554549375	11.32	16.15	0.166	0.031	11.44	0.902																																
10020	VHD	Cyno	M	6.450508908	9.32	5.74	0.079	0.004	16.53	1.14																																
10021	LD	Cyno	M	6.576452631	37.76	221.4	0.328	0.096	12.7	0.852																																
10022	LD	Cyno	M	6.354682163	23.63	40.59	0.089	0.188	6.98	0.903																																
10023	LD	Cyno	M	6.554549375	10.06	9.54	0.11	0.029	12.7	1.61																																
10024	LD	Cyno	M	6.316351465	11.72	10.38	0.14	0	8.58	0.91																																
10025	LD	Cyno	M	6.800961005	27.11	46.57	0.491	0.02	13.96	1.11																																
10026	LD	Cyno	M	6.505267049	12.1	11.9	0.165	0.02	13.85	1.49																																
10027	LD	Cyno	M	6.538121933	31.83	250	0.688	0.007	16.31	1.51																																
10035	VHD	Cyno	F	6.88857403	19.89	60.64	0.273	0.008	16.69	0.535																																
10038	VHD	Cyno	F	6.721561702	17.41	66.41	0.115	0.013	9.69	0.683																																
10039	BD	Cyno	F	6.653114027	46.24	173.2	0.673	0.061	19.92	1.15																																
10041	VHD	Cyno	F	6.73251333	24.53	59.19	0.282	0.015	24.43	2.19																																
10044	VHD	Cyno	F	6.833815889	17.58	22.93	0.173	0.045	12.21	1.01																																
10045	VHD	Cyno	F	6.811912633	23.26	39.7	0.242	0.052	18.18	1.19																																
